;Scopy version,dda5ec6
;Exported on,Friday January 14/01/2022
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
443,-0.001157,-0.48881,-0.507604
444,-0.001156,-0.490328,-0.507604
445,-0.001155,-0.490328,-0.509122
446,-0.001154,-0.490328,-0.507604
447,-0.001153,-0.490328,-0.507604
448,-0.001152,-0.490328,-0.507604
449,-0.001151,-0.490328,-0.507604
450,-0.00115,-0.490328,-0.507604
451,-0.001149,-0.490328,-0.507604
452,-0.001148,-0.490328,-0.507604
453,-0.001147,-0.491846,-0.510641
454,-0.001146,-0.490328,-0.507604
455,-0.001145,-0.491846,-0.507604
456,-0.001144,-0.491846,-0.509122
457,-0.001143,-0.491846,-0.509122
458,-0.001142,-0.491846,-0.509122
459,-0.001141,-0.491846,-0.507604
460,-0.00114,-0.491846,-0.507604
461,-0.001139,-0.491846,-0.507604
462,-0.001138,-0.490328,-0.507604
463,-0.001137,-0.493364,-0.510641
464,-0.001136,-0.491846,-0.507604
465,-0.001135,-0.491846,-0.507604
466,-0.001134,-0.493364,-0.507604
467,-0.001133,-0.493364,-0.507604
468,-0.001132,-0.493364,-0.507604
469,-0.001131,-0.493364,-0.507604
470,-0.00113,-0.493364,-0.507604
471,-0.001129,-0.493364,-0.507604
472,-0.001128,-0.493364,-0.507604
473,-0.001127,-0.493364,-0.507604
474,-0.001126,-0.493364,-0.507604
475,-0.001125,-0.493364,-0.507604
476,-0.001124,-0.493364,-0.507604
477,-0.001123,-0.493364,-0.507604
478,-0.001122,-0.493364,-0.507604
479,-0.001121,-0.494882,-0.507604
480,-0.00112,-0.494882,-0.507604
481,-0.001119,-0.494882,-0.507604
482,-0.001118,-0.494882,-0.507604
483,-0.001117,-0.494882,-0.507604
484,-0.001116,-0.494882,-0.507604
485,-0.001115,-0.494882,-0.507604
486,-0.001114,-0.494882,-0.510641
487,-0.001113,-0.494882,-0.509122
488,-0.001112,-0.494882,-0.506086
489,-0.001111,-0.494882,-0.509122
490,-0.00111,-0.494882,-0.509122
491,-0.001109,-0.494882,-0.507604
492,-0.001108,-0.494882,-0.507604
493,-0.001107,-0.494882,-0.509122
494,-0.001106,-0.494882,-0.507604
495,-0.001105,-0.494882,-0.507604
496,-0.001104,-0.494882,-0.507604
497,-0.001103,-0.4964,-0.507604
498,-0.001102,-0.494882,-0.507604
499,-0.001101,-0.497919,-0.510641
500,-0.0011,-0.494882,-0.507604
501,-0.001099,-0.4964,-0.507604
502,-0.001098,-0.4964,-0.507604
503,-0.001097,-0.4964,-0.507604
504,-0.001096,-0.4964,-0.507604
505,-0.001095,-0.4964,-0.507604
506,-0.001094,-0.4964,-0.509122
507,-0.001093,-0.4964,-0.507604
508,-0.001092,-0.4964,-0.507604
509,-0.001091,-0.4964,-0.509122
510,-0.00109,-0.4964,-0.509122
511,-0.001089,-0.4964,-0.507604
512,-0.001088,-0.4964,-0.507604
513,-0.001087,-0.4964,-0.507604
514,-0.001086,-0.499437,-0.507604
