;Scopy version,dda5ec6
;Exported on,Monday January 17/01/2022
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
499,-0.001101,-0.452955,-0.515195
500,-0.0011,-0.454473,-0.518231
501,-0.001099,-0.454473,-0.515195
502,-0.001098,-0.454473,-0.515195
503,-0.001097,-0.452955,-0.515195
504,-0.001096,-0.455991,-0.515195
505,-0.001095,-0.454473,-0.515195
506,-0.001094,-0.454473,-0.515195
507,-0.001093,-0.454473,-0.515195
508,-0.001092,-0.454473,-0.515195
509,-0.001091,-0.454473,-0.515195
510,-0.00109,-0.454473,-0.515195
511,-0.001089,-0.454473,-0.515195
512,-0.001088,-0.454473,-0.515195
513,-0.001087,-0.455991,-0.515195
514,-0.001086,-0.454473,-0.515195
515,-0.001085,-0.454473,-0.515195
516,-0.001084,-0.454473,-0.515195
517,-0.001083,-0.455991,-0.515195
518,-0.001082,-0.455991,-0.515195
519,-0.001081,-0.455991,-0.515195
520,-0.00108,-0.454473,-0.515195
521,-0.001079,-0.457509,-0.515195
522,-0.001078,-0.454473,-0.515195
523,-0.001077,-0.454473,-0.515195
524,-0.001076,-0.454473,-0.515195
525,-0.001075,-0.455991,-0.515195
526,-0.001074,-0.454473,-0.515195
527,-0.001073,-0.454473,-0.515195
528,-0.001072,-0.455991,-0.515195
529,-0.001071,-0.455991,-0.515195
530,-0.00107,-0.455991,-0.515195
531,-0.001069,-0.455991,-0.515195
532,-0.001068,-0.455991,-0.515195
533,-0.001067,-0.455991,-0.515195
534,-0.001066,-0.455991,-0.515195
535,-0.001065,-0.455991,-0.515195
536,-0.001064,-0.455991,-0.515195
537,-0.001063,-0.455991,-0.515195
538,-0.001062,-0.455991,-0.515195
539,-0.001061,-0.454473,-0.515195
540,-0.00106,-0.452955,-0.515195
541,-0.001059,-0.455991,-0.515195
542,-0.001058,-0.454473,-0.515195
543,-0.001057,-0.454473,-0.515195
544,-0.001056,-0.454473,-0.515195
545,-0.001055,-0.455991,-0.515195
546,-0.001054,-0.455991,-0.515195
547,-0.001053,-0.452955,-0.513677
548,-0.001052,-0.455991,-0.516713
549,-0.001051,-0.455991,-0.515195
550,-0.00105,-0.455991,-0.515195
551,-0.001049,-0.455991,-0.515195
552,-0.001048,-0.455991,-0.515195
553,-0.001047,-0.455991,-0.515195
554,-0.001046,-0.455991,-0.515195
555,-0.001045,-0.455991,-0.515195
556,-0.001044,-0.455991,-0.515195
557,-0.001043,-0.454473,-0.515195
558,-0.001042,-0.454473,-0.515195
559,-0.001041,-0.455991,-0.515195
560,-0.00104,-0.455991,-0.515195
561,-0.001039,-0.455991,-0.516713
562,-0.001038,-0.455991,-0.515195
563,-0.001037,-0.455991,-0.515195
564,-0.001036,-0.455991,-0.515195
565,-0.001035,-0.455991,-0.515195
566,-0.001034,-0.454473,-0.516713
567,-0.001033,-0.454473,-0.515195
568,-0.001032,-0.454473,-0.515195
569,-0.001031,-0.455991,-0.515195
570,-0.00103,-0.455991,-0.515195
571,-0.001029,-0.455991,-0.515195
572,-0.001028,-0.455991,-0.515195
573,-0.001027,-0.455991,-0.515195
574,-0.001026,-0.455991,-0.515195
575,-0.001025,-0.455991,-0.515195
576,-0.001024,-0.455991,-0.515195
577,-0.001023,-0.455991,-0.515195
578,-0.001022,-0.455991,-0.515195
579,-0.001021,-0.455991,-0.516713
580,-0.00102,-0.455991,-0.513677
581,-0.001019,-0.455991,-0.515195
582,-0.001018,-0.455991,-0.515195
583,-0.001017,-0.455991,-0.515195
584,-0.001016,-0.452955,-0.515195
585,-0.001015,-0.455991,-0.515195
586,-0.001014,-0.455991,-0.515195
587,-0.001013,-0.455991,-0.515195
588,-0.001012,-0.455991,-0.515195
589,-0.001011,-0.455991,-0.515195
590,-0.00101,-0.454473,-0.515195
591,-0.001009,-0.455991,-0.515195
592,-0.001008,-0.455991,-0.515195
593,-0.001007,-0.455991,-0.515195
594,-0.001006,-0.455991,-0.515195
595,-0.001005,-0.455991,-0.515195
596,-0.001004,-0.455991,-0.516713
597,-0.001003,-0.455991,-0.516713
598,-0.001002,-0.455991,-0.516713
599,-0.001001,-0.455991,-0.515195
600,-0.001,-0.454473,-0.515195
601,-0.000999,-0.455991,-0.515195
602,-0.000998,-0.455991,-0.515195
603,-0.000997,-0.455991,-0.515195
604,-0.000996,-0.455991,-0.515195
605,-0.000995,-0.455991,-0.515195
606,-0.000994,-0.455991,-0.515195
607,-0.000993,-0.455991,-0.515195
608,-0.000992,-0.455991,-0.515195
609,-0.000991,-0.455991,-0.515195
610,-0.00099,-0.455991,-0.515195
611,-0.000989,-0.455991,-0.515195
612,-0.000988,-0.455991,-0.515195
613,-0.000987,-0.455991,-0.516713
614,-0.000986,-0.455991,-0.515195
615,-0.000985,-0.455991,-0.516713
616,-0.000984,-0.455991,-0.515195
617,-0.000983,-0.455991,-0.515195
618,-0.000982,-0.455991,-0.515195
619,-0.000981,-0.455991,-0.515195
620,-0.00098,-0.455991,-0.515195
621,-0.000979,-0.455991,-0.515195
622,-0.000978,-0.455991,-0.515195
623,-0.000977,-0.455991,-0.516713
624,-0.000976,-0.455991,-0.516713
625,-0.000975,-0.455991,-0.516713
626,-0.000974,-0.455991,-0.516713
627,-0.000973,-0.455991,-0.515195
628,-0.000972,-0.455991,-0.518231
629,-0.000971,-0.455991,-0.515195
630,-0.00097,-0.455991,-0.515195
631,-0.000969,-0.455991,-0.515195
632,-0.000968,-0.455991,-0.515195
633,-0.000967,-0.455991,-0.515195
634,-0.000966,-0.455991,-0.515195
635,-0.000965,-0.455991,-0.515195
636,-0.000964,-0.455991,-0.515195
637,-0.000963,-0.455991,-0.515195
638,-0.000962,-0.455991,-0.515195
639,-0.000961,-0.455991,-0.515195
640,-0.00096,-0.455991,-0.516713
641,-0.000959,-0.455991,-0.515195
642,-0.000958,-0.455991,-0.515195
643,-0.000957,-0.455991,-0.515195
644,-0.000956,-0.455991,-0.515195
645,-0.000955,-0.455991,-0.515195
646,-0.000954,-0.455991,-0.515195
647,-0.000953,-0.455991,-0.515195
648,-0.000952,-0.455991,-0.516713
649,-0.000951,-0.455991,-0.516713
650,-0.00095,-0.455991,-0.516713
651,-0.000949,-0.455991,-0.516713
652,-0.000948,-0.455991,-0.513677
653,-0.000947,-0.455991,-0.515195
654,-0.000946,-0.455991,-0.515195
655,-0.000945,-0.455991,-0.515195
656,-0.000944,-0.455991,-0.515195
657,-0.000943,-0.455991,-0.515195
658,-0.000942,-0.455991,-0.515195
659,-0.000941,-0.455991,-0.515195
660,-0.00094,-0.455991,-0.515195
661,-0.000939,-0.455991,-0.515195
662,-0.000938,-0.455991,-0.515195
663,-0.000937,-0.455991,-0.515195
664,-0.000936,-0.455991,-0.515195
665,-0.000935,-0.455991,-0.515195
666,-0.000934,-0.455991,-0.515195
667,-0.000933,-0.455991,-0.515195
668,-0.000932,-0.455991,-0.515195
669,-0.000931,-0.455991,-0.515195
670,-0.00093,-0.455991,-0.515195
671,-0.000929,-0.455991,-0.515195
672,-0.000928,-0.455991,-0.515195
